Device ID	Device Name	Device Platform
72bbd356e964bb2fa3108ae93a17d80e82b70a9d	liuningyin	ios
132a32440ea40d63e128f9b9f8bc26864f88ead3	zoushuaibing	ios
7D16CF3E36E0E3C55C37D7FCEB74E0CA48D2AE30	xp1	ios
D5AC3A89BF88F5D9238C5D61BCF041F877311379	xp2	ios
0D5E8EE9F98167F5B7EC16196EEAB89CCAEC48E0	xp3	ios
A5DCD43DD76BD67ED14F59D714BF5CEDA269A0CD	xp4	ios
8188A4B17FE6935C7B9F9C77107B6B7CD9018320	xp5	ios
1217D436A28C1EF7329B0CEFA25D94C1D41CC503	xp6	ios
15C8CDB527D9406528DC2E1EC65919EBDB792822	xp7	ios
36047959288BB2236C3A667B7819D6C6E5B16D5B	xp8	ios
D14E8373B569B2A301F0A68F6A518C2B1ABE0D89	xp9	ios
